Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772012469443,3204,3204,3204,3204,3204,3204,3204,3204,0,100,0,0,0,0,0,0,5.867541313171387,8589934592,2147483648,6294142976,391184384
209,1772012469443,3204,3204,3204,3204,3204,3204,3204,3204,100,NaN,NaN,0,NaN,NaN,0,0,5.867541313171387,8589934592,2147483648,6294945792,391184384
208,1772012469654,3204,3204,3204,3204,3204,3204,3204,3204,36.842105865478516,36.3636360168457,33.333335876464844,33.333335876464844,14.285715103149414,13.636363983154297,9.523809432983398,4.761904716491699,5.645872592926025,8589934592,2147483648,6294339584,391184384
208,1772012469862,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,35,38.095237731933594,33.333335876464844,14.285715103149414,5,9.523809432983398,5,5.645872592926025,8589934592,2147483648,6294913024,391184384
209,1772012470071,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,61.904762268066406,57.142860412597656,57.142860412597656,5,4.761904716491699,4.761904716491699,4.545454502105713,5.645872592926025,8589934592,2147483648,6298157056,391184384
206,1772012470281,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,61.904762268066406,55,47.619049072265625,33.333335876464844,35,20,10,5.645872592926025,8589934592,2147483648,6215041024,391184384
202,1772012470488,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,52.38095474243164,52.38095474243164,45,0,4.545454502105713,0,4.761904716491699,5.823873043060303,8589934592,2147483648,6227722240,391184384
201,1772012470691,3204,3204,3204,3204,3204,3204,3204,3204,65,68.42105102539063,68.42105102539063,61.904762268066406,31.81818199157715,20,5,0,5.823873043060303,8589934592,2147483648,6293487616,391184384
200,1772012470893,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,60.000003814697266,42.85714340209961,40,10.526315689086914,10,9.523809432983398,9.523809432983398,5.823873043060303,8589934592,2147483648,6293487616,391184384
209,1772012471094,3204,3204,3204,3204,3204,3204,3204,3204,52.6315803527832,60.000003814697266,45,42.105262756347656,0,0,0,0,5.823873043060303,8589934592,2147483648,6297468928,391184384
200,1772012471304,3204,3204,3204,3204,3204,3204,3204,3204,63.6363639831543,61.904762268066406,61.904762268066406,52.38095474243164,0,0,0,0,5.823873043060303,8589934592,2147483648,6317965312,391184384
207,1772012471505,3204,3204,3204,3204,3204,3204,3204,3204,36.842105865478516,40,25,40,5,5,4.761904716491699,0,6.982394695281982,8589934592,2147483648,6298959872,391184384
206,1772012471712,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,47.619049072265625,35,33.333335876464844,14.285715103149414,4.761904716491699,4.761904716491699,9.090909004211426,6.982394695281982,8589934592,2147483648,6289031168,391184384
202,1772012471919,3204,3204,3204,3204,3204,3204,3204,3204,40,45,38.095237731933594,38.095237731933594,10,9.523809432983398,4.761904716491699,0,6.982394695281982,8589934592,2147483648,6285312000,391184384
205,1772012472122,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,50,35,30.000001907348633,10,5,10,10,6.982394695281982,8589934592,2147483648,6290685952,391184384
203,1772012472327,3204,3204,3204,3204,3204,3204,3204,3204,45,42.85714340209961,30.000001907348633,30.000001907348633,28.571430206298828,15.000000953674316,0,0,6.982394695281982,8589934592,2147483648,6252527616,391184384
205,1772012472532,3204,3204,3204,3204,3204,3204,3204,3204,80,80.95238494873047,75,75,9.523809432983398,47.619049072265625,0,4.761904716491699,6.88917350769043,8589934592,2147483648,6241959936,391184384
207,1772012472738,3204,3204,3204,3204,3204,3204,3204,3204,80.95238494873047,78.94737243652344,86.36363983154297,80.95238494873047,15.000000953674316,10,9.523809432983398,5,6.88917350769043,8589934592,2147483648,6227771392,391184384
207,1772012472946,3204,3204,3204,3204,3204,3204,3204,3204,70,71.42857360839844,75,66.66667175292969,4.761904716491699,4.545454502105713,4.761904716491699,4.761904716491699,6.88917350769043,8589934592,2147483648,6225739776,391184384
209,1772012473154,3204,3204,3204,3204,3204,3204,3204,3204,65,61.904762268066406,70,55,28.571430206298828,20,13.636363983154297,5,6.88917350769043,8589934592,2147483648,6197493760,391184384
204,1772012473365,3204,3204,3204,3204,3204,3204,3204,3204,68.18181610107422,61.904762268066406,72.7272720336914,57.142860412597656,33.333335876464844,13.636363983154297,0,4.545454502105713,6.88917350769043,8589934592,2147483648,6180945920,391184384
200,1772012473569,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,55,45,50,15.000000953674316,15.789472579956055,9.523809432983398,5,6.813050270080566,8589934592,2147483648,6180945920,391184384
203,1772012473770,3204,3204,3204,3204,3204,3204,3204,3204,75,75,76.19047546386719,89.47368621826172,10,4.761904716491699,0,0,6.813050270080566,8589934592,2147483648,6180945920,391184384
201,1772012473974,3204,3204,3204,3204,3204,3204,3204,3204,65,57.142860412597656,57.894737243652344,45,9.523809432983398,10,4.761904716491699,5,6.813050270080566,8589934592,2147483648,6180945920,391184384
203,1772012474175,3204,3204,3204,3204,3204,3204,3204,3204,57.894737243652344,57.894737243652344,60.000003814697266,40,40,5.263157844543457,0,0,6.813050270080566,8589934592,2147483648,6166806528,391184384
