Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772003769236,3204,3204,3204,3204,3204,3204,3204,3204,50,0,0,0,50,0,0,0,5.119469165802002,8589934592,2147483648,5890785280,407961600
209,1772003769236,3204,3204,3204,3204,3204,3204,3204,3204,NaN,NaN,0,NaN,NaN,NaN,0,0,5.119469165802002,8589934592,2147483648,5891522560,407961600
202,1772003769446,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,23.809524536132813,30.000001907348633,23.809524536132813,4.545454502105713,0,0,0,5.119469165802002,8589934592,2147483648,5892407296,407961600
207,1772003769648,3204,3204,3204,3204,3204,3204,3204,3204,20,25,15.789472579956055,30.000001907348633,0,0,0,0,5.119469165802002,8589934592,2147483648,5892440064,407961600
209,1772003769857,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,23.809524536132813,19.047618865966797,23.809524536132813,5,4.761904716491699,4.761904716491699,4.761904716491699,5.637228965759277,8589934592,2147483648,5893963776,407961600
206,1772003770067,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,27.272727966308594,22.72727394104004,19.047618865966797,0,0,0,0,5.637228965759277,8589934592,2147483648,5893865472,407961600
209,1772003770273,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,25,20,25,19.047618865966797,13.636363983154297,0,0,5.637228965759277,8589934592,2147483648,5904613376,407961600
203,1772003770484,3204,3204,3204,3204,3204,3204,3204,3204,55,61.904762268066406,57.142860412597656,59.09090805053711,0,0,0,4.761904716491699,5.637228965759277,8589934592,2147483648,5912838144,407961600
200,1772003770688,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,65,47.619049072265625,45,28.571430206298828,15.789472579956055,4.761904716491699,0,5.637228965759277,8589934592,2147483648,5912838144,407961600
209,1772003770888,3204,3204,3204,3204,3204,3204,3204,3204,65,55,47.36842346191406,52.6315803527832,31.57894515991211,28.571430206298828,21.052631378173828,5,5.693297386169434,8589934592,2147483648,5941067776,407961600
