Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772015184113,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,NaN,NaN,0,0,0,4.540307998657227,8589934592,2147483648,5726191616,366018560
204,1772015184113,3204,3204,3204,3204,3204,3204,3204,3204,100,NaN,NaN,100,0,NaN,0,0,4.540307998657227,8589934592,2147483648,5726191616,366018560
200,1772015184318,3204,3204,3204,3204,3204,3204,3204,3204,75,76.19047546386719,72.7272720336914,70,0,0,0,0,4.540307998657227,8589934592,2147483648,5726191616,366018560
202,1772015184519,3204,3204,3204,3204,3204,3204,3204,3204,40,35,35,40,0,0,0,0,4.532607555389404,8589934592,2147483648,5726191616,366018560
201,1772015184722,3204,3204,3204,3204,3204,3204,3204,3204,75,68.42105102539063,70,70,9.523809432983398,5,0,4.761904716491699,4.532607555389404,8589934592,2147483648,5688049664,366018560
204,1772015184924,3204,3204,3204,3204,3204,3204,3204,3204,94.73684692382813,90.90909576416016,89.47368621826172,90.47618865966797,5,5,4.761904716491699,0,4.532607555389404,8589934592,2147483648,5696782336,366018560
202,1772015185129,3204,3204,3204,3204,3204,3204,3204,3204,95.45454406738281,100,100,100,20,14.285715103149414,9.523809432983398,5,4.532607555389404,8589934592,2147483648,5706235904,366018560
204,1772015185332,3204,3204,3204,3204,3204,3204,3204,3204,95,85,90,90,5,0,4.761904716491699,0,4.532607555389404,8589934592,2147483648,5728256000,366018560
204,1772015185537,3204,3204,3204,3204,3204,3204,3204,3204,65,65,57.142860412597656,55,19.047618865966797,9.523809432983398,10,5,6.262478828430176,8589934592,2147483648,5748097024,366018560
204,1772015185742,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,57.142860412597656,50,45,30.000001907348633,25,20,23.809524536132813,6.262478828430176,8589934592,2147483648,5769068544,366018560
204,1772015185947,3204,3204,3204,3204,3204,3204,3204,3204,85.71428680419922,85,85,77.2727279663086,0,4.761904716491699,4.761904716491699,0,6.262478828430176,8589934592,2147483648,5772296192,366018560
204,1772015186152,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,0,0,0,0,6.262478828430176,8589934592,2147483648,5777162240,366018560
203,1772015186357,3204,3204,3204,3204,3204,3204,3204,3204,85.71428680419922,85.71428680419922,80.95238494873047,85,9.090909004211426,5,0,0,6.507494926452637,8589934592,2147483648,5777162240,366018560
204,1772015186561,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,5.263157844543457,4.761904716491699,23.809524536132813,4.761904716491699,6.507494926452637,8589934592,2147483648,5777162240,366018560
204,1772015186766,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,13.636363983154297,0,5,9.090909004211426,6.507494926452637,8589934592,2147483648,5805539328,366018560
204,1772015186971,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,0,0,4.545454502105713,0,6.507494926452637,8589934592,2147483648,5797593088,366018560
203,1772015187176,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,0,0,0,0,6.507494926452637,8589934592,2147483648,5798428672,366018560
202,1772015187380,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,0,0,0,0,7.140390396118164,8589934592,2147483648,5796626432,366018560
206,1772015187583,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,5,5,5,5,7.140390396118164,8589934592,2147483648,5796757504,366018560
204,1772015187790,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,0,4.545454502105713,0,0,7.140390396118164,8589934592,2147483648,5800017920,366018560
204,1772015187994,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,4.761904716491699,0,0,0,7.140390396118164,8589934592,2147483648,5802770432,366018560
203,1772015188200,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,95.23809814453125,90.90909576416016,95.23809814453125,0,0,0,0,7.140390396118164,8589934592,2147483648,5788516352,366018560
204,1772015188404,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,95,100,100,0,5,4.761904716491699,5,6.931008815765381,8589934592,2147483648,5786550272,366018560
200,1772015188609,3204,3204,3204,3204,3204,3204,3204,3204,100,100,95.23809814453125,95.23809814453125,4.761904716491699,0,0,0,6.931008815765381,8589934592,2147483648,5787762688,366018560
204,1772015188810,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,95,100,100,0,0,0,0,6.931008815765381,8589934592,2147483648,5784600576,366018560
202,1772015189015,3204,3204,3204,3204,3204,3204,3204,3204,100,95.23809814453125,95,95.23809814453125,0,0,0,5,6.931008815765381,8589934592,2147483648,5783273472,366018560
204,1772015189218,3204,3204,3204,3204,3204,3204,3204,3204,95,95,95,95,25,20,10,5,6.931008815765381,8589934592,2147483648,5783273472,366018560
203,1772015189423,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,95,95.23809814453125,90,0,4.761904716491699,0,4.761904716491699,6.5518903732299805,8589934592,2147483648,5783273472,366018560
204,1772015189627,3204,3204,3204,3204,3204,3204,3204,3204,80,80.95238494873047,80,85,0,0,0,0,6.5518903732299805,8589934592,2147483648,5783273472,366018560
200,1772015189832,3204,3204,3204,3204,3204,3204,3204,3204,80.95238494873047,80,85.71428680419922,81.81818389892578,4.545454502105713,0,4.761904716491699,0,6.5518903732299805,8589934592,2147483648,5780766720,366018560
204,1772015190033,3204,3204,3204,3204,3204,3204,3204,3204,52.6315803527832,60.000003814697266,68.42105102539063,60.000003814697266,0,0,0,0,6.5518903732299805,8589934592,2147483648,5775212544,366018560
200,1772015190238,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,33.333335876464844,57.142860412597656,40,0,0,0,0,6.5518903732299805,8589934592,2147483648,5776277504,366018560
204,1772015190438,3204,3204,3204,3204,3204,3204,3204,3204,42.105262756347656,40,50,40,10,15.000000953674316,0,0,6.816103935241699,8589934592,2147483648,5776277504,366018560
204,1772015190643,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,42.105262756347656,47.36842346191406,35,5,0,0,0,6.816103935241699,8589934592,2147483648,5776277504,366018560
204,1772015190848,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,33.333335876464844,40.90909194946289,35,4.761904716491699,4.761904716491699,0,0,6.816103935241699,8589934592,2147483648,5777162240,366018560
204,1772015191053,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,52.38095474243164,30.000001907348633,42.85714340209961,4.761904716491699,5,4.761904716491699,0,6.816103935241699,8589934592,2147483648,5788286976,366018560
204,1772015191258,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,57.894737243652344,42.85714340209961,40,0,4.545454502105713,0,4.761904716491699,6.816103935241699,8589934592,2147483648,5773410304,366018560
203,1772015191463,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,50,35,33.333335876464844,4.761904716491699,0,0,0,5.928119659423828,8589934592,2147483648,5774049280,366018560
203,1772015191667,3204,3204,3204,3204,3204,3204,3204,3204,40,59.09090805053711,30.000001907348633,33.333335876464844,0,0,0,0,5.928119659423828,8589934592,2147483648,5776474112,366018560
204,1772015191871,3204,3204,3204,3204,3204,3204,3204,3204,50,40,42.85714340209961,35,0,0,0,0,5.928119659423828,8589934592,2147483648,5771804672,366018560
201,1772015192076,3204,3204,3204,3204,3204,3204,3204,3204,45,30.000001907348633,40,21.052631378173828,0,0,0,0,5.928119659423828,8589934592,2147483648,5774393344,366018560
204,1772015192277,3204,3204,3204,3204,3204,3204,3204,3204,26.3157901763916,20,30.000001907348633,19.047618865966797,5,5,4.761904716491699,5,5.928119659423828,8589934592,2147483648,5776392192,366018560
199,1772015192482,3204,3204,3204,3204,3204,3204,3204,3204,25,20,28.571430206298828,19.047618865966797,0,0,0,0,5.294623851776123,8589934592,2147483648,5773131776,366018560
204,1772015192683,3204,3204,3204,3204,3204,3204,3204,3204,25,19.047618865966797,30.000001907348633,10.526315689086914,5,5,5,0,5.294623851776123,8589934592,2147483648,5773131776,366018560
204,1772015192888,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,30.000001907348633,35,23.809524536132813,4.761904716491699,4.761904716491699,0,4.761904716491699,5.294623851776123,8589934592,2147483648,5773295616,366018560
204,1772015193093,3204,3204,3204,3204,3204,3204,3204,3204,25,20,20,19.047618865966797,0,0,0,0,5.294623851776123,8589934592,2147483648,5773262848,366018560
202,1772015193298,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,28.571430206298828,23.809524536132813,15.000000953674316,4.761904716491699,4.761904716491699,13.636363983154297,9.090909004211426,5.294623851776123,8589934592,2147483648,5775245312,366018560
