Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772000507374,3204,3204,3204,3204,3204,3204,3204,3204,0,NaN,100,100,0,0,0,0,5.582762718200684,8589934592,2147483648,6019317760,407961600
209,1772000507374,3204,3204,3204,3204,3204,3204,3204,3204,NaN,50,NaN,0,0,0,0,0,5.582762718200684,8589934592,2147483648,6020087808,407961600
201,1772000507585,3204,3204,3204,3204,3204,3204,3204,3204,54.54545593261719,55,57.142860412597656,61.904762268066406,4.761904716491699,0,4.545454502105713,0,5.582762718200684,8589934592,2147483648,6020087808,407961600
209,1772000507787,3204,3204,3204,3204,3204,3204,3204,3204,50,65,40,45,0,4.761904716491699,5,4.761904716491699,5.582762718200684,8589934592,2147483648,6020087808,407961600
200,1772000507997,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,71.42857360839844,66.66667175292969,65,9.523809432983398,9.523809432983398,0,4.761904716491699,6.05621862411499,8589934592,2147483648,6057443328,407961600
209,1772000508198,3204,3204,3204,3204,3204,3204,3204,3204,70,73.68421173095703,70,76.19047546386719,25,20,5.263157844543457,5,6.05621862411499,8589934592,2147483648,6086918144,407961600
204,1772000508408,3204,3204,3204,3204,3204,3204,3204,3204,76.19047546386719,68.18181610107422,80.95238494873047,70,9.523809432983398,9.523809432983398,9.090909004211426,0,6.05621862411499,8589934592,2147483648,6131564544,407961600
207,1772000508613,3204,3204,3204,3204,3204,3204,3204,3204,70,65,70,61.904762268066406,0,0,0,0,6.05621862411499,8589934592,2147483648,6131564544,407961600
202,1772000508821,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,71.42857360839844,72.7272720336914,60.000003814697266,20,9.523809432983398,5,0,6.05621862411499,8589934592,2147483648,6131564544,407961600
207,1772000509024,3204,3204,3204,3204,3204,3204,3204,3204,80,75,80,80,28.571430206298828,25,20,9.523809432983398,6.2009782791137695,8589934592,2147483648,6186074112,407961600
