Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771998332825,3204,3204,3204,3204,3204,3204,3204,3204,NaN,50,100,100,0,0,0,0,5.541550159454346,8589934592,2147483648,6083543040,407961600
209,1771998332825,3204,3204,3204,3204,3204,3204,3204,3204,100,100,0,NaN,NaN,NaN,NaN,NaN,5.541550159454346,8589934592,2147483648,6084050944,407961600
202,1771998333035,3204,3204,3204,3204,3204,3204,3204,3204,27.272727966308594,25,20,23.809524536132813,9.090909004211426,4.545454502105713,0,0,5.541550159454346,8589934592,2147483648,6071091200,407961600
207,1771998333239,3204,3204,3204,3204,3204,3204,3204,3204,47.36842346191406,45,45,47.619049072265625,5,5.263157844543457,5,5,6.284290313720703,8589934592,2147483648,6075039744,407961600
207,1771998333447,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,57.142860412597656,54.54545593261719,50,4.761904716491699,4.545454502105713,4.761904716491699,4.545454502105713,6.284290313720703,8589934592,2147483648,6082297856,407961600
209,1771998333655,3204,3204,3204,3204,3204,3204,3204,3204,50,42.85714340209961,40,30.000001907348633,15.000000953674316,20,4.761904716491699,4.761904716491699,6.284290313720703,8589934592,2147483648,6071402496,407961600
202,1771998333865,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,38.095237731933594,38.095237731933594,45.45454788208008,4.761904716491699,4.761904716491699,0,0,6.284290313720703,8589934592,2147483648,6059917312,407961600
205,1771998334068,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,57.894737243652344,45,45,9.523809432983398,5,5,4.761904716491699,5.936656951904297,8589934592,2147483648,6019350528,407961600
209,1771998334274,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,38.095237731933594,33.333335876464844,23.809524536132813,10,4.761904716491699,0,0,5.936656951904297,8589934592,2147483648,6019055616,407961600
203,1771998334483,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,52.38095474243164,47.619049072265625,45,33.333335876464844,28.571430206298828,13.636363983154297,9.090909004211426,5.936656951904297,8589934592,2147483648,6012780544,407961600
202,1771998334687,3204,3204,3204,3204,3204,3204,3204,3204,55,52.6315803527832,31.57894515991211,42.85714340209961,5,4.761904716491699,5,0,5.936656951904297,8589934592,2147483648,6016057344,407961600
209,1771998334890,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,33.333335876464844,28.571430206298828,15.000000953674316,14.285715103149414,10.526315689086914,5,5,5.936656951904297,8589934592,2147483648,6029754368,407961600
199,1771998335100,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,61.904762268066406,60.000003814697266,55,47.619049072265625,19.047618865966797,4.761904716491699,10,6.470239162445068,8589934592,2147483648,6013992960,407961600
205,1771998335300,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,70,66.66667175292969,71.42857360839844,5.263157844543457,5,4.761904716491699,4.761904716491699,6.470239162445068,8589934592,2147483648,6001147904,407961600
201,1771998335506,3204,3204,3204,3204,3204,3204,3204,3204,55.55555725097656,71.42857360839844,65,57.894737243652344,19.047618865966797,14.285715103149414,10,5,6.470239162445068,8589934592,2147483648,6014779392,407961600
199,1771998335708,3204,3204,3204,3204,3204,3204,3204,3204,76.19047546386719,65,70,59.09090805053711,33.333335876464844,5,4.761904716491699,15.000000953674316,6.470239162445068,8589934592,2147483648,5981552640,407961600
205,1771998335908,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,63.15789031982422,60.000003814697266,52.6315803527832,15.000000953674316,15.000000953674316,5.263157844543457,25,6.470239162445068,8589934592,2147483648,5982339072,407961600
203,1771998336114,3204,3204,3204,3204,3204,3204,3204,3204,55,57.142860412597656,65,55,0,0,0,0,6.967196941375732,8589934592,2147483648,5976621056,407961600
203,1771998336318,3204,3204,3204,3204,3204,3204,3204,3204,85.71428680419922,80,80.95238494873047,85.71428680419922,5,5,5,5,6.967196941375732,8589934592,2147483648,5976178688,407961600
204,1771998336521,3204,3204,3204,3204,3204,3204,3204,3204,65,61.904762268066406,55,55,5.263157844543457,14.285715103149414,5,4.761904716491699,6.967196941375732,8589934592,2147483648,5983387648,407961600
205,1771998336726,3204,3204,3204,3204,3204,3204,3204,3204,65,55,65,61.904762268066406,27.272727966308594,14.285715103149414,10,5,6.967196941375732,8589934592,2147483648,5974228992,407961600
207,1771998336932,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,65,52.38095474243164,36.842105865478516,10,15.000000953674316,0,0,6.967196941375732,8589934592,2147483648,5976195072,407961600
207,1771998337140,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,45,52.38095474243164,50,9.523809432983398,5,9.090909004211426,4.761904716491699,7.723976135253906,8589934592,2147483648,5964759040,407961600
201,1771998337348,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,71.42857360839844,71.42857360839844,47.619049072265625,0,4.545454502105713,4.545454502105713,0,7.723976135253906,8589934592,2147483648,5979930624,407961600
208,1771998337550,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,52.38095474243164,31.57894515991211,55,10,5,5,5,7.723976135253906,8589934592,2147483648,5966397440,407961600
199,1771998337759,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,57.142860412597656,59.09090805053711,47.619049072265625,0,0,0,0,7.723976135253906,8589934592,2147483648,5978750976,407961600
206,1771998337959,3204,3204,3204,3204,3204,3204,3204,3204,50,45,42.105262756347656,50,5,5,0,40,7.723976135253906,8589934592,2147483648,5978849280,407961600
208,1771998338166,3204,3204,3204,3204,3204,3204,3204,3204,50,50,50,42.85714340209961,4.761904716491699,4.761904716491699,0,4.761904716491699,6.9613423347473145,8589934592,2147483648,5968805888,407961600
200,1771998338375,3204,3204,3204,3204,3204,3204,3204,3204,45,38.095237731933594,57.894737243652344,36.842105865478516,0,0,0,0,6.9613423347473145,8589934592,2147483648,5968805888,407961600
206,1771998338576,3204,3204,3204,3204,3204,3204,3204,3204,63.15789031982422,36.842105865478516,47.619049072265625,38.095237731933594,40,5,5,0,6.9613423347473145,8589934592,2147483648,5973344256,407961600
199,1771998338783,3204,3204,3204,3204,3204,3204,3204,3204,63.6363639831543,61.904762268066406,50,57.142860412597656,42.85714340209961,20,5,5,6.9613423347473145,8589934592,2147483648,5989466112,407961600
200,1771998338983,3204,3204,3204,3204,3204,3204,3204,3204,52.6315803527832,60.000003814697266,50,52.6315803527832,5.263157844543457,0,0,0,6.9613423347473145,8589934592,2147483648,5993578496,407961600
203,1771998339184,3204,3204,3204,3204,3204,3204,3204,3204,76.19047546386719,75,80,71.42857360839844,5,5,5,5,6.368698596954346,8589934592,2147483648,6000312320,407961600
208,1771998339388,3204,3204,3204,3204,3204,3204,3204,3204,78.94737243652344,61.904762268066406,61.904762268066406,60.000003814697266,5,4.761904716491699,0,0,6.368698596954346,8589934592,2147483648,5982273536,407961600
