Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772015455728,3204,3204,3204,3204,3204,3204,3204,3204,100,NaN,0,0,NaN,0,0,0,6.171756267547607,8589934592,2147483648,6139117568,366018560
209,1772015455728,3204,3204,3204,3204,3204,3204,3204,3204,0,0,NaN,NaN,0,NaN,NaN,NaN,6.171756267547607,8589934592,2147483648,6139904000,366018560
204,1772015455938,3204,3204,3204,3204,3204,3204,3204,3204,40,40,23.809524536132813,20,10,9.523809432983398,9.090909004211426,4.761904716491699,6.171756267547607,8589934592,2147483648,6139133952,366018560
201,1772015456143,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,38.095237731933594,30.000001907348633,23.809524536132813,14.285715103149414,9.523809432983398,5,13.636363983154297,6.171756267547607,8589934592,2147483648,6139133952,366018560
203,1772015456345,3204,3204,3204,3204,3204,3204,3204,3204,80,70,71.42857360839844,66.66667175292969,10,5,0,0,5.673232555389404,8589934592,2147483648,6114017280,366018560
202,1772015456549,3204,3204,3204,3204,3204,3204,3204,3204,70,61.904762268066406,60.000003814697266,52.6315803527832,9.523809432983398,5,9.090909004211426,4.761904716491699,5.673232555389404,8589934592,2147483648,6115196928,366018560
203,1772015456752,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,50,57.142860412597656,47.619049072265625,19.047618865966797,23.809524536132813,0,0,5.673232555389404,8589934592,2147483648,6101155840,366018560
209,1772015456957,3204,3204,3204,3204,3204,3204,3204,3204,68.42105102539063,61.904762268066406,57.894737243652344,65,0,0,0,0,5.673232555389404,8589934592,2147483648,6113263616,366018560
204,1772015457167,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,52.38095474243164,50,47.619049072265625,9.090909004211426,4.761904716491699,5,4.761904716491699,5.673232555389404,8589934592,2147483648,6096879616,366018560
209,1772015457372,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,47.619049072265625,40.90909194946289,45,5,5.263157844543457,9.090909004211426,4.761904716491699,6.164252758026123,8589934592,2147483648,6117687296,366018560
203,1772015457582,3204,3204,3204,3204,3204,3204,3204,3204,50,47.619049072265625,33.333335876464844,31.81818199157715,0,0,0,0,6.164252758026123,8589934592,2147483648,6112657408,366018560
202,1772015457786,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,47.36842346191406,65,57.894737243652344,0,0,0,0,6.164252758026123,8589934592,2147483648,6080823296,366018560
207,1772015457989,3204,3204,3204,3204,3204,3204,3204,3204,52.6315803527832,38.095237731933594,40,47.619049072265625,9.090909004211426,5,0,0,6.164252758026123,8589934592,2147483648,6080823296,366018560
203,1772015458196,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,26.3157901763916,19.047618865966797,14.285715103149414,5.263157844543457,22.72727394104004,4.761904716491699,4.761904716491699,6.164252758026123,8589934592,2147483648,6080823296,366018560
