Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772004584470,3204,3204,3204,3204,3204,3204,3204,3204,0,0,0,50,0,0,0,0,5.471076488494873,8589934592,2147483648,5863014400,407961600
209,1772004584470,3204,3204,3204,3204,3204,3204,3204,3204,0,100,NaN,0,NaN,0,NaN,0,5.471076488494873,8589934592,2147483648,5863014400,407961600
208,1772004584680,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,31.81818199157715,38.095237731933594,25,14.285715103149414,15.000000953674316,0,4.761904716491699,5.471076488494873,8589934592,2147483648,5863014400,407961600
201,1772004584889,3204,3204,3204,3204,3204,3204,3204,3204,20,26.3157901763916,19.047618865966797,23.809524536132813,13.636363983154297,13.636363983154297,0,0,5.667658805847168,8589934592,2147483648,5863014400,407961600
207,1772004585092,3204,3204,3204,3204,3204,3204,3204,3204,75,71.42857360839844,66.66667175292969,65,5,5,5,0,5.667658805847168,8589934592,2147483648,5880479744,407961600
206,1772004585300,3204,3204,3204,3204,3204,3204,3204,3204,45,45,35,33.333335876464844,20,10,0,4.761904716491699,5.667658805847168,8589934592,2147483648,5884346368,407961600
208,1772004585506,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,54.54545593261719,52.38095474243164,50,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,5.667658805847168,8589934592,2147483648,5896355840,407961600
207,1772004585715,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,40,33.333335876464844,28.571430206298828,0,0,0,0,5.667658805847168,8589934592,2147483648,5912576000,407961600
200,1772004585923,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,35,20,23.809524536132813,0,0,4.761904716491699,0,5.8591389656066895,8589934592,2147483648,5912576000,407961600
209,1772004586124,3204,3204,3204,3204,3204,3204,3204,3204,52.6315803527832,55,30.000001907348633,35,15.000000953674316,19.047618865966797,9.523809432983398,5,5.8591389656066895,8589934592,2147483648,5934972928,407961600
204,1772004586334,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,55,61.904762268066406,66.66667175292969,9.090909004211426,0,0,0,5.8591389656066895,8589934592,2147483648,5935988736,407961600
200,1772004586538,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,57.142860412597656,65,52.38095474243164,25,30.000001907348633,20,20,5.8591389656066895,8589934592,2147483648,5935988736,407961600
209,1772004586739,3204,3204,3204,3204,3204,3204,3204,3204,70,80,65,63.15789031982422,45,10,15.000000953674316,9.523809432983398,5.8591389656066895,8589934592,2147483648,5935988736,407961600
204,1772004586949,3204,3204,3204,3204,3204,3204,3204,3204,65,63.6363639831543,52.38095474243164,76.19047546386719,33.333335876464844,14.285715103149414,4.761904716491699,0,6.460710525512695,8589934592,2147483648,5935988736,407961600
201,1772004587154,3204,3204,3204,3204,3204,3204,3204,3204,80.95238494873047,80,80,80.95238494873047,4.761904716491699,5,0,4.761904716491699,6.460710525512695,8589934592,2147483648,5917900800,407961600
204,1772004587356,3204,3204,3204,3204,3204,3204,3204,3204,65,57.894737243652344,65,70,5,0,0,0,6.460710525512695,8589934592,2147483648,5919490048,407961600
200,1772004587561,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,71.42857360839844,66.66667175292969,80.95238494873047,10,9.523809432983398,9.523809432983398,0,6.460710525512695,8589934592,2147483648,5920915456,407961600
204,1772004587762,3204,3204,3204,3204,3204,3204,3204,3204,70,65,70,65,0,0,25,4.761904716491699,6.460710525512695,8589934592,2147483648,5920063488,407961600
205,1772004587967,3204,3204,3204,3204,3204,3204,3204,3204,65,66.66667175292969,61.904762268066406,73.68421173095703,9.523809432983398,10,5,5,7.376710414886475,8589934592,2147483648,5920702464,407961600
209,1772004588173,3204,3204,3204,3204,3204,3204,3204,3204,75,75,70,72.7272720336914,5,0,0,0,7.376710414886475,8589934592,2147483648,5919145984,407961600
206,1772004588382,3204,3204,3204,3204,3204,3204,3204,3204,68.18181610107422,71.42857360839844,61.904762268066406,60.000003814697266,0,4.545454502105713,4.761904716491699,0,7.376710414886475,8589934592,2147483648,5919801344,407961600
209,1772004588589,3204,3204,3204,3204,3204,3204,3204,3204,70,61.904762268066406,57.142860412597656,75,4.761904716491699,0,0,0,7.376710414886475,8589934592,2147483648,5921767424,407961600
201,1772004588800,3204,3204,3204,3204,3204,3204,3204,3204,68.18181610107422,66.66667175292969,52.38095474243164,54.54545593261719,4.761904716491699,4.761904716491699,4.761904716491699,5,7.376710414886475,8589934592,2147483648,5924356096,407961600
208,1772004589001,3204,3204,3204,3204,3204,3204,3204,3204,85,75,80,70,20,15.789472579956055,5.263157844543457,4.761904716491699,7.301872253417969,8589934592,2147483648,5919834112,407961600
209,1772004589210,3204,3204,3204,3204,3204,3204,3204,3204,65,65,70,66.66667175292969,9.523809432983398,30.434782028198242,9.090909004211426,0,7.301872253417969,8589934592,2147483648,5910872064,407961600
202,1772004589420,3204,3204,3204,3204,3204,3204,3204,3204,70,68.18181610107422,59.09090805053711,80.95238494873047,0,0,0,0,7.301872253417969,8589934592,2147483648,5904957440,407961600
208,1772004589623,3204,3204,3204,3204,3204,3204,3204,3204,50,65,45,35,5,0,9.523809432983398,4.761904716491699,7.301872253417969,8589934592,2147483648,5905874944,407961600
204,1772004589831,3204,3204,3204,3204,3204,3204,3204,3204,50,52.38095474243164,47.619049072265625,35,0,4.545454502105713,0,0,6.835460662841797,8589934592,2147483648,5907480576,407961600
201,1772004590037,3204,3204,3204,3204,3204,3204,3204,3204,55,75,55,52.38095474243164,0,0,0,0,6.835460662841797,8589934592,2147483648,5907480576,407961600
201,1772004590239,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,52.6315803527832,52.6315803527832,45,4.761904716491699,0,0,4.761904716491699,6.835460662841797,8589934592,2147483648,5907300352,407961600
209,1772004590441,3204,3204,3204,3204,3204,3204,3204,3204,47.36842346191406,47.619049072265625,45,45,0,0,0,0,6.835460662841797,8589934592,2147483648,5908692992,407961600
204,1772004590651,3204,3204,3204,3204,3204,3204,3204,3204,45.45454788208008,45.45454788208008,47.619049072265625,61.904762268066406,38.095237731933594,38.095237731933594,0,0,6.835460662841797,8589934592,2147483648,5911461888,407961600
204,1772004590856,3204,3204,3204,3204,3204,3204,3204,3204,45,60.000003814697266,42.85714340209961,47.619049072265625,10,15.000000953674316,4.761904716491699,0,6.8970561027526855,8589934592,2147483648,5908594688,407961600
209,1772004591061,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,57.894737243652344,66.66667175292969,70,5,9.523809432983398,0,0,6.8970561027526855,8589934592,2147483648,5916098560,407961600
200,1772004591271,3204,3204,3204,3204,3204,3204,3204,3204,85.71428680419922,80.95238494873047,76.19047546386719,85.71428680419922,22.72727394104004,14.285715103149414,0,0,6.8970561027526855,8589934592,2147483648,5909233664,407961600
209,1772004591472,3204,3204,3204,3204,3204,3204,3204,3204,52.6315803527832,47.619049072265625,60.000003814697266,40,5,5,5,0,6.8970561027526855,8589934592,2147483648,5909856256,407961600
206,1772004591682,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,61.904762268066406,66.66667175292969,66.66667175292969,9.523809432983398,4.761904716491699,0,0,6.8970561027526855,8589934592,2147483648,5912264704,407961600
199,1772004591889,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,52.38095474243164,55,33.333335876464844,0,0,4.761904716491699,0,6.786782741546631,8589934592,2147483648,5913051136,407961600
208,1772004592089,3204,3204,3204,3204,3204,3204,3204,3204,57.894737243652344,68.42105102539063,52.38095474243164,47.36842346191406,0,0,0,4.761904716491699,6.786782741546631,8589934592,2147483648,5911330816,407961600
209,1772004592298,3204,3204,3204,3204,3204,3204,3204,3204,76.19047546386719,90.47618865966797,75,66.66667175292969,4.761904716491699,9.090909004211426,0,0,6.786782741546631,8589934592,2147483648,5913231360,407961600
208,1772004592508,3204,3204,3204,3204,3204,3204,3204,3204,54.54545593261719,52.38095474243164,71.42857360839844,42.85714340209961,0,0,4.545454502105713,0,6.786782741546631,8589934592,2147483648,5912510464,407961600
199,1772004592717,3204,3204,3204,3204,3204,3204,3204,3204,75,65,61.904762268066406,76.19047546386719,19.047618865966797,25,10,9.523809432983398,6.786782741546631,8589934592,2147483648,5913804800,407961600
200,1772004592917,3204,3204,3204,3204,3204,3204,3204,3204,50,57.142860412597656,61.904762268066406,57.142860412597656,10,33.333335876464844,5,5,6.9939494132995605,8589934592,2147483648,5919653888,407961600
206,1772004593118,3204,3204,3204,3204,3204,3204,3204,3204,68.42105102539063,65,77.77777862548828,55.55555725097656,5.263157844543457,5.263157844543457,5,0,6.9939494132995605,8589934592,2147483648,5918916608,407961600
205,1772004593325,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,61.904762268066406,61.904762268066406,59.09090805053711,28.571430206298828,19.047618865966797,4.761904716491699,4.761904716491699,6.9939494132995605,8589934592,2147483648,5903761408,407961600
204,1772004593530,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,63.15789031982422,54.54545593261719,50,9.523809432983398,9.523809432983398,4.761904716491699,5,6.9939494132995605,8589934592,2147483648,5905743872,407961600
209,1772004593735,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,42.85714340209961,31.57894515991211,33.333335876464844,0,0,0,0,6.9939494132995605,8589934592,2147483648,5906202624,407961600
209,1772004593945,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,47.619049072265625,38.095237731933594,52.38095474243164,40,38.095237731933594,0,4.545454502105713,6.931172847747803,8589934592,2147483648,5907005440,407961600
208,1772004594155,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,57.142860412597656,52.38095474243164,52.38095474243164,61.904762268066406,18.18181800842285,4.761904716491699,0,6.931172847747803,8589934592,2147483648,5908119552,407961600
200,1772004594363,3204,3204,3204,3204,3204,3204,3204,3204,50,45,45,28.571430206298828,54.54545593261719,0,0,0,6.931172847747803,8589934592,2147483648,5909872640,407961600
206,1772004594564,3204,3204,3204,3204,3204,3204,3204,3204,50,42.85714340209961,33.333335876464844,42.105262756347656,10.526315689086914,15.000000953674316,30.000001907348633,0,6.931172847747803,8589934592,2147483648,5911871488,407961600
209,1772004594771,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,60.000003814697266,35,28.571430206298828,71.42857360839844,0,0,19.047618865966797,6.931172847747803,8589934592,2147483648,5913772032,407961600
201,1772004594981,3204,3204,3204,3204,3204,3204,3204,3204,45,52.38095474243164,35,30.000001907348633,66.66667175292969,0,0,0,6.666178226470947,8589934592,2147483648,5915738112,407961600
206,1772004595183,3204,3204,3204,3204,3204,3204,3204,3204,45,47.36842346191406,45.45454788208008,20,42.85714340209961,15.000000953674316,0,0,6.666178226470947,8589934592,2147483648,5915836416,407961600
201,1772004595390,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,43.4782600402832,57.142860412597656,52.38095474243164,75,4.761904716491699,0,0,6.666178226470947,8589934592,2147483648,5908119552,407961600
208,1772004595591,3204,3204,3204,3204,3204,3204,3204,3204,55,50,36.842105865478516,40,55,19.047618865966797,14.285715103149414,0,6.666178226470947,8589934592,2147483648,5902057472,407961600
209,1772004595801,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,47.36842346191406,23.809524536132813,47.619049072265625,85.71428680419922,0,0,0,6.666178226470947,8589934592,2147483648,5904203776,407961600
204,1772004596010,3204,3204,3204,3204,3204,3204,3204,3204,36.3636360168457,33.333335876464844,42.85714340209961,40.90909194946289,71.42857360839844,0,0,0,9.940937995910645,8589934592,2147483648,5903302656,407961600
207,1772004596215,3204,3204,3204,3204,3204,3204,3204,3204,42.105262756347656,47.619049072265625,42.105262756347656,35,65,5,4.761904716491699,4.761904716491699,9.940937995910645,8589934592,2147483648,5905612800,407961600
203,1772004596423,3204,3204,3204,3204,3204,3204,3204,3204,45,33.333335876464844,28.571430206298828,45,76.19047546386719,9.523809432983398,0,0,9.940937995910645,8589934592,2147483648,5907038208,407961600
209,1772004596626,3204,3204,3204,3204,3204,3204,3204,3204,35,55,42.85714340209961,28.571430206298828,71.42857360839844,5.263157844543457,0,0,9.940937995910645,8589934592,2147483648,5896683520,407961600
204,1772004596836,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,52.38095474243164,40.90909194946289,52.38095474243164,61.904762268066406,13.636363983154297,5,0,10.526442527770996,8589934592,2147483648,5898387456,407961600
206,1772004597041,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,36.842105865478516,47.36842346191406,28.571430206298828,75,0,0,0,10.526442527770996,8589934592,2147483648,5889671168,407961600
200,1772004597248,3204,3204,3204,3204,3204,3204,3204,3204,55,31.81818199157715,54.54545593261719,36.842105865478516,71.42857360839844,4.761904716491699,0,9.090909004211426,10.526442527770996,8589934592,2147483648,5889622016,407961600
208,1772004597449,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,50,31.57894515991211,28.571430206298828,89.47368621826172,15.789472579956055,4.761904716491699,0,10.526442527770996,8589934592,2147483648,5892423680,407961600
206,1772004597658,3204,3204,3204,3204,3204,3204,3204,3204,50,30.000001907348633,42.85714340209961,38.095237731933594,52.38095474243164,23.809524536132813,4.761904716491699,0,10.526442527770996,8589934592,2147483648,5871337472,407961600
200,1772004597865,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,33.333335876464844,52.38095474243164,25,55,4.761904716491699,0,0,10.743712425231934,8589934592,2147483648,5871484928,407961600
207,1772004598066,3204,3204,3204,3204,3204,3204,3204,3204,25,25,20,15.789472579956055,61.904762268066406,0,0,0,10.743712425231934,8589934592,2147483648,5872336896,407961600
203,1772004598275,3204,3204,3204,3204,3204,3204,3204,3204,20,23.809524536132813,15.000000953674316,13.636363983154297,42.85714340209961,0,4.545454502105713,0,10.743712425231934,8589934592,2147483648,5874696192,407961600
205,1772004598479,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,25,30.000001907348633,25,50,0,0,0,10.743712425231934,8589934592,2147483648,5876432896,407961600
207,1772004598684,3204,3204,3204,3204,3204,3204,3204,3204,40.90909194946289,40,38.095237731933594,35,75,0,0,4.761904716491699,10.743712425231934,8589934592,2147483648,5880774656,407961600
209,1772004598892,3204,3204,3204,3204,3204,3204,3204,3204,21.052631378173828,23.809524536132813,20,19.047618865966797,57.142860412597656,8.69565200805664,0,0,10.673985481262207,8589934592,2147483648,5880987648,407961600
209,1772004599102,3204,3204,3204,3204,3204,3204,3204,3204,31.81818199157715,23.809524536132813,19.047618865966797,19.047618865966797,66.66667175292969,10.526315689086914,4.761904716491699,0,10.673985481262207,8589934592,2147483648,5871190016,407961600
209,1772004599312,3204,3204,3204,3204,3204,3204,3204,3204,20,30.000001907348633,23.809524536132813,19.047618865966797,76.19047546386719,9.090909004211426,0,0,10.673985481262207,8589934592,2147483648,5875236864,407961600
208,1772004599523,3204,3204,3204,3204,3204,3204,3204,3204,27.272727966308594,27.272727966308594,19.047618865966797,14.285715103149414,18.18181800842285,0,0,15.000000953674316,10.673985481262207,8589934592,2147483648,5875531776,407961600
203,1772004599731,3204,3204,3204,3204,3204,3204,3204,3204,35,35,38.095237731933594,33.333335876464844,75,20,5,4.761904716491699,10.673985481262207,8589934592,2147483648,5869338624,407961600
204,1772004599935,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,25,25,23.809524536132813,80,13.636363983154297,0,0,8.803709030151367,8589934592,2147483648,5869338624,407961600
209,1772004600140,3204,3204,3204,3204,3204,3204,3204,3204,47.36842346191406,42.85714340209961,47.619049072265625,31.57894515991211,66.66667175292969,25,28.571430206298828,23.809524536132813,8.803709030151367,8589934592,2147483648,5869338624,407961600
206,1772004600349,3204,3204,3204,3204,3204,3204,3204,3204,31.81818199157715,25,28.571430206298828,22.72727394104004,75,0,4.545454502105713,0,8.803709030151367,8589934592,2147483648,5869338624,407961600
209,1772004600556,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,36.3636360168457,30.000001907348633,26.3157901763916,76.19047546386719,4.761904716491699,0,0,8.803709030151367,8589934592,2147483648,5874106368,407961600
207,1772004600766,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,40,42.85714340209961,40.90909194946289,42.85714340209961,19.047618865966797,14.285715103149414,21.7391300201416,8.803709030151367,8589934592,2147483648,5873614848,407961600
204,1772004600974,3204,3204,3204,3204,3204,3204,3204,3204,35,28.571430206298828,20,20,75,0,0,0,9.284294128417969,8589934592,2147483648,5876973568,407961600
203,1772004601178,3204,3204,3204,3204,3204,3204,3204,3204,35,30.000001907348633,30.000001907348633,28.571430206298828,71.42857360839844,4.761904716491699,4.761904716491699,0,9.284294128417969,8589934592,2147483648,5882036224,407961600
209,1772004601381,3204,3204,3204,3204,3204,3204,3204,3204,45,45,47.619049072265625,45,60.000003814697266,0,0,0,9.284294128417969,8589934592,2147483648,5884657664,407961600
199,1772004601591,3204,3204,3204,3204,3204,3204,3204,3204,31.81818199157715,28.571430206298828,23.809524536132813,19.047618865966797,45,4.761904716491699,4.761904716491699,4.761904716491699,9.284294128417969,8589934592,2147483648,5885067264,407961600
208,1772004601791,3204,3204,3204,3204,3204,3204,3204,3204,36.842105865478516,35,35,30.000001907348633,47.619049072265625,9.523809432983398,0,0,9.284294128417969,8589934592,2147483648,5893193728,407961600
209,1772004602000,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,38.095237731933594,30.000001907348633,30.000001907348633,57.142860412597656,0,9.090909004211426,0,10.33033561706543,8589934592,2147483648,5895585792,407961600
202,1772004602210,3204,3204,3204,3204,3204,3204,3204,3204,25,20,23.809524536132813,19.047618865966797,45,9.090909004211426,4.761904716491699,4.545454502105713,10.33033561706543,8589934592,2147483648,5905383424,407961600
209,1772004602414,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,28.571430206298828,30.000001907348633,20,55,0,0,0,10.33033561706543,8589934592,2147483648,5910118400,407961600
207,1772004602624,3204,3204,3204,3204,3204,3204,3204,3204,25,30.000001907348633,20,19.047618865966797,42.85714340209961,0,0,0,10.33033561706543,8589934592,2147483648,5902368768,407961600
207,1772004602832,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,19.047618865966797,22.72727394104004,15.000000953674316,76.19047546386719,0,0,0,9.71457290649414,8589934592,2147483648,5918670848,407961600
204,1772004603039,3204,3204,3204,3204,3204,3204,3204,3204,35,35,25,27.272727966308594,38.095237731933594,0,0,0,9.71457290649414,8589934592,2147483648,5918670848,407961600
200,1772004603245,3204,3204,3204,3204,3204,3204,3204,3204,55,45,47.619049072265625,45,47.619049072265625,5,0,4.761904716491699,9.71457290649414,8589934592,2147483648,5918670848,407961600
201,1772004603446,3204,3204,3204,3204,3204,3204,3204,3204,35,40,35,28.571430206298828,26.3157901763916,0,4.761904716491699,5,9.71457290649414,8589934592,2147483648,5918670848,407961600
203,1772004603648,3204,3204,3204,3204,3204,3204,3204,3204,45,40,31.57894515991211,21.052631378173828,40,0,0,0,9.71457290649414,8589934592,2147483648,5937430528,407961600
207,1772004603852,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,50,38.095237731933594,50,55,9.090909004211426,0,0,9.976872444152832,8589934592,2147483648,5943197696,407961600
209,1772004604059,3204,3204,3204,3204,3204,3204,3204,3204,45,42.85714340209961,42.85714340209961,40,90.47618865966797,19.047618865966797,10,0,9.976872444152832,8589934592,2147483648,5939052544,407961600
209,1772004604270,3204,3204,3204,3204,3204,3204,3204,3204,35,38.095237731933594,25,19.047618865966797,28.571430206298828,10,4.761904716491699,9.090909004211426,9.976872444152832,8589934592,2147483648,5932204032,407961600
207,1772004604479,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,28.571430206298828,27.272727966308594,28.571430206298828,85,0,14.285715103149414,0,9.976872444152832,8589934592,2147483648,5940314112,407961600
201,1772004604688,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,26.3157901763916,21.052631378173828,19.047618865966797,57.142860412597656,4.761904716491699,4.545454502105713,0,9.976872444152832,8589934592,2147483648,5933514752,407961600
202,1772004604890,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,28.571430206298828,25,23.809524536132813,5,9.523809432983398,5,5,8.342996597290039,8589934592,2147483648,5924257792,407961600
203,1772004605093,3204,3204,3204,3204,3204,3204,3204,3204,31.57894515991211,35,33.333335876464844,25,4.761904716491699,0,0,0,8.342996597290039,8589934592,2147483648,5924044800,407961600
206,1772004605296,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,25,28.571430206298828,20,15.000000953674316,5,15.000000953674316,35,8.342996597290039,8589934592,2147483648,5924601856,407961600
205,1772004605503,3204,3204,3204,3204,3204,3204,3204,3204,35,28.571430206298828,28.571430206298828,20,23.809524536132813,10,14.285715103149414,57.142860412597656,8.342996597290039,8589934592,2147483648,5924601856,407961600
200,1772004605709,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,35,36.842105865478516,33.333335876464844,5,33.333335876464844,38.095237731933594,0,8.342996597290039,8589934592,2147483648,5928763392,407961600
202,1772004605910,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,23.809524536132813,21.052631378173828,15.000000953674316,55,15.000000953674316,0,0,10.578425407409668,8589934592,2147483648,5928681472,407961600
209,1772004606113,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,31.57894515991211,27.272727966308594,25,66.66667175292969,23.809524536132813,14.285715103149414,19.047618865966797,10.578425407409668,8589934592,2147483648,5928009728,407961600
201,1772004606323,3204,3204,3204,3204,3204,3204,3204,3204,25,23.809524536132813,20,19.047618865966797,5,25,55,0,10.578425407409668,8589934592,2147483648,5928009728,407961600
209,1772004606525,3204,3204,3204,3204,3204,3204,3204,3204,20,20,15.000000953674316,14.285715103149414,15.000000953674316,18.18181800842285,14.285715103149414,42.85714340209961,10.578425407409668,8589934592,2147483648,5928009728,407961600
204,1772004606735,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,23.809524536132813,19.047618865966797,15.000000953674316,0,65,0,33.333335876464844,10.578425407409668,8589934592,2147483648,5929353216,407961600
202,1772004606940,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,23.809524536132813,23.809524536132813,19.047618865966797,18.18181800842285,50,25,0,8.419453620910645,8589934592,2147483648,5930434560,407961600
201,1772004607142,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,30.000001907348633,20,15.000000953674316,35,15.000000953674316,0,4.761904716491699,8.419453620910645,8589934592,2147483648,5930467328,407961600
200,1772004607344,3204,3204,3204,3204,3204,3204,3204,3204,20,20,21.052631378173828,15.000000953674316,73.68421173095703,33.333335876464844,0,15.000000953674316,8.419453620910645,8589934592,2147483648,5915066368,407961600
209,1772004607546,3204,3204,3204,3204,3204,3204,3204,3204,26.3157901763916,25,23.809524536132813,10.526315689086914,65,45,0,0,8.419453620910645,8589934592,2147483648,5916606464,407961600
202,1772004607756,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,23.809524536132813,19.047618865966797,18.18181800842285,47.619049072265625,9.523809432983398,4.545454502105713,0,8.419453620910645,8589934592,2147483648,5916737536,407961600
209,1772004607958,3204,3204,3204,3204,3204,3204,3204,3204,25,20,20,10,0,100,0,0,10.472615242004395,8589934592,2147483648,5917851648,407961600
206,1772004608168,3204,3204,3204,3204,3204,3204,3204,3204,31.81818199157715,33.333335876464844,28.571430206298828,23.809524536132813,42.85714340209961,70,9.090909004211426,0,10.472615242004395,8589934592,2147483648,5928648704,407961600
209,1772004608375,3204,3204,3204,3204,3204,3204,3204,3204,25,23.809524536132813,20,15.000000953674316,80.95238494873047,23.809524536132813,5,4.761904716491699,10.472615242004395,8589934592,2147483648,5920325632,407961600
209,1772004608585,3204,3204,3204,3204,3204,3204,3204,3204,25,25,20,19.047618865966797,100,0,0,0,10.472615242004395,8589934592,2147483648,5920702464,407961600
204,1772004608795,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,38.095237731933594,45.45454788208008,38.095237731933594,19.047618865966797,28.571430206298828,33.333335876464844,23.809524536132813,10.472615242004395,8589934592,2147483648,5920620544,407961600
208,1772004608999,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,20,15.000000953674316,19.047618865966797,5,52.38095474243164,40,4.761904716491699,9.533449172973633,8589934592,2147483648,5920636928,407961600
209,1772004609208,3204,3204,3204,3204,3204,3204,3204,3204,20,20,19.047618865966797,10,72.7272720336914,20,28.571430206298828,0,9.533449172973633,8589934592,2147483648,5919637504,407961600
