Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772004312996,3204,3204,3204,3204,3204,3204,3204,3204,0,0,0,0,0,0,0,0,5.151106834411621,8589934592,2147483648,5918375936,407961600
209,1772004312996,3204,3204,3204,3204,3204,3204,3204,3204,NaN,NaN,100,NaN,0,NaN,0,NaN,5.151106834411621,8589934592,2147483648,5917753344,407961600
209,1772004313206,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,27.272727966308594,19.047618865966797,19.047618865966797,5,4.761904716491699,4.761904716491699,0,5.151106834411621,8589934592,2147483648,5916786688,407961600
202,1772004313416,3204,3204,3204,3204,3204,3204,3204,3204,70,70,60.000003814697266,61.904762268066406,0,0,0,4.761904716491699,5.151106834411621,8589934592,2147483648,5916786688,407961600
199,1772004313619,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,52.38095474243164,42.85714340209961,30.000001907348633,14.285715103149414,14.285715103149414,5,0,5.151106834411621,8589934592,2147483648,5934563328,407961600
209,1772004313819,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,50,45,42.85714340209961,20,25,4.761904716491699,0,5.783102035522461,8589934592,2147483648,5941510144,407961600
209,1772004314029,3204,3204,3204,3204,3204,3204,3204,3204,40,35,33.333335876464844,25,0,0,0,0,5.783102035522461,8589934592,2147483648,5947834368,407961600
208,1772004314239,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,55,50,52.38095474243164,9.523809432983398,9.523809432983398,4.761904716491699,4.545454502105713,5.783102035522461,8589934592,2147483648,5980520448,407961600
207,1772004314448,3204,3204,3204,3204,3204,3204,3204,3204,35,28.571430206298828,23.809524536132813,20,0,4.761904716491699,0,0,5.783102035522461,8589934592,2147483648,5996036096,407961600
206,1772004314655,3204,3204,3204,3204,3204,3204,3204,3204,50,47.619049072265625,35,38.095237731933594,28.571430206298828,9.523809432983398,0,0,5.783102035522461,8589934592,2147483648,6011142144,407961600
207,1772004314862,3204,3204,3204,3204,3204,3204,3204,3204,40,66.66667175292969,38.095237731933594,30.000001907348633,19.047618865966797,20,10,9.523809432983398,6.425308704376221,8589934592,2147483648,5990973440,407961600
202,1772004315071,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,35,35,33.333335876464844,0,0,0,0,6.425308704376221,8589934592,2147483648,5998837760,407961600
207,1772004315273,3204,3204,3204,3204,3204,3204,3204,3204,50,52.38095474243164,47.619049072265625,38.095237731933594,25,28.571430206298828,31.81818199157715,23.809524536132813,6.425308704376221,8589934592,2147483648,5995331584,407961600
209,1772004315481,3204,3204,3204,3204,3204,3204,3204,3204,75,70,71.42857360839844,60.000003814697266,15.000000953674316,14.285715103149414,19.047618865966797,5,6.425308704376221,8589934592,2147483648,5985910784,407961600
206,1772004315691,3204,3204,3204,3204,3204,3204,3204,3204,68.18181610107422,68.18181610107422,71.42857360839844,65,0,0,0,0,6.425308704376221,8589934592,2147483648,5985484800,407961600
208,1772004315898,3204,3204,3204,3204,3204,3204,3204,3204,65,65,80,68.18181610107422,9.090909004211426,0,0,0,6.576845645904541,8589934592,2147483648,5989007360,407961600
200,1772004316106,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,75,54.54545593261719,57.142860412597656,0,4.761904716491699,4.545454502105713,4.761904716491699,6.576845645904541,8589934592,2147483648,5988941824,407961600
209,1772004316308,3204,3204,3204,3204,3204,3204,3204,3204,70,50,63.15789031982422,50,0,0,0,0,6.576845645904541,8589934592,2147483648,5990842368,407961600
204,1772004316517,3204,3204,3204,3204,3204,3204,3204,3204,65,57.142860412597656,38.095237731933594,38.095237731933594,0,0,0,0,6.576845645904541,8589934592,2147483648,5982404608,407961600
209,1772004316722,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,55,50,60.000003814697266,10,4.761904716491699,0,4.761904716491699,6.576845645904541,8589934592,2147483648,5989384192,407961600
208,1772004316932,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,45.45454788208008,52.38095474243164,40,59.09090805053711,52.6315803527832,9.090909004211426,0,7.290566921234131,8589934592,2147483648,5974736896,407961600
204,1772004317141,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,73.68421173095703,66.66667175292969,77.2727279663086,4.761904716491699,40.90909194946289,0,4.761904716491699,7.290566921234131,8589934592,2147483648,5974736896,407961600
201,1772004317345,3204,3204,3204,3204,3204,3204,3204,3204,45,45.45454788208008,61.904762268066406,38.095237731933594,5,5,0,0,7.290566921234131,8589934592,2147483648,5974736896,407961600
200,1772004317547,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,68.42105102539063,55,63.15789031982422,0,4.761904716491699,4.761904716491699,0,7.290566921234131,8589934592,2147483648,5974736896,407961600
200,1772004317748,3204,3204,3204,3204,3204,3204,3204,3204,42.105262756347656,42.85714340209961,65,28.571430206298828,47.619049072265625,5,0,0,7.290566921234131,8589934592,2147483648,5966266368,407961600
209,1772004317948,3204,3204,3204,3204,3204,3204,3204,3204,45,47.36842346191406,55,55,35,5,0,4.761904716491699,6.311949729919434,8589934592,2147483648,5956993024,407961600
205,1772004318158,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,33.333335876464844,45,36.842105865478516,22.72727394104004,9.523809432983398,4.545454502105713,0,6.311949729919434,8589934592,2147483648,5942280192,407961600
208,1772004318364,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,61.904762268066406,57.142860412597656,54.54545593261719,0,0,0,0,6.311949729919434,8589934592,2147483648,5942132736,407961600
200,1772004318573,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,35,47.619049072265625,52.38095474243164,15.000000953674316,14.285715103149414,13.636363983154297,5,6.311949729919434,8589934592,2147483648,5941526528,407961600
201,1772004318773,3204,3204,3204,3204,3204,3204,3204,3204,55,42.85714340209961,31.57894515991211,50,14.285715103149414,25,0,0,6.311949729919434,8589934592,2147483648,5938462720,407961600
209,1772004318975,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,55,55,42.105262756347656,21.052631378173828,9.523809432983398,0,4.761904716491699,7.637149333953857,8589934592,2147483648,5922570240,407961600
208,1772004319185,3204,3204,3204,3204,3204,3204,3204,3204,59.09090805053711,47.619049072265625,38.095237731933594,33.333335876464844,9.523809432983398,4.761904716491699,0,0,7.637149333953857,8589934592,2147483648,5924274176,407961600
200,1772004319395,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,40,45.45454788208008,38.095237731933594,42.85714340209961,0,0,0,7.637149333953857,8589934592,2147483648,5923192832,407961600
201,1772004319595,3204,3204,3204,3204,3204,3204,3204,3204,40,33.333335876464844,60.000003814697266,30.000001907348633,4.761904716491699,0,0,0,7.637149333953857,8589934592,2147483648,5922340864,407961600
208,1772004319797,3204,3204,3204,3204,3204,3204,3204,3204,42.105262756347656,45,52.6315803527832,35,0,5,5,0,7.637149333953857,8589934592,2147483648,5923946496,407961600
203,1772004320006,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,47.619049072265625,57.142860412597656,47.619049072265625,0,0,0,0,7.182649612426758,8589934592,2147483648,5920964608,407961600
