Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772016542679,3204,3204,3204,3204,3204,3204,3204,3204,50,100,0,NaN,0,0,0,0,5.260402202606201,8589934592,2147483648,6089867264,366018560
204,1772016542680,3204,3204,3204,3204,3204,3204,3204,3204,NaN,0,100,0,NaN,NaN,100,0,5.260402202606201,8589934592,2147483648,6089867264,366018560
204,1772016542885,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,25,15.000000953674316,20,0,0,0,0,5.260402202606201,8589934592,2147483648,6089867264,366018560
204,1772016543089,3204,3204,3204,3204,3204,3204,3204,3204,85,75,80,76.19047546386719,5,4.761904716491699,4.761904716491699,0,5.260402202606201,8589934592,2147483648,6089867264,366018560
204,1772016543294,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,57.142860412597656,45,38.095237731933594,4.761904716491699,4.761904716491699,0,0,6.022566795349121,8589934592,2147483648,6081413120,366018560
204,1772016543499,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,45,47.619049072265625,42.105262756347656,14.285715103149414,15.000000953674316,4.761904716491699,0,6.022566795349121,8589934592,2147483648,6036619264,366018560
201,1772016543703,3204,3204,3204,3204,3204,3204,3204,3204,47.36842346191406,50,40,33.333335876464844,28.571430206298828,19.047618865966797,10,9.523809432983398,6.022566795349121,8589934592,2147483648,6026919936,366018560
200,1772016543906,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,40,35,31.57894515991211,15.789472579956055,5.263157844543457,5.263157844543457,0,6.022566795349121,8589934592,2147483648,5982945280,366018560
204,1772016544106,3204,3204,3204,3204,3204,3204,3204,3204,36.842105865478516,33.333335876464844,35,25,5,4.761904716491699,4.761904716491699,0,6.022566795349121,8589934592,2147483648,6006849536,366018560
203,1772016544312,3204,3204,3204,3204,3204,3204,3204,3204,50,45,47.619049072265625,40.90909194946289,0,0,4.761904716491699,9.090909004211426,6.020669937133789,8589934592,2147483648,6005932032,366018560
204,1772016544515,3204,3204,3204,3204,3204,3204,3204,3204,50,50,50,57.894737243652344,4.761904716491699,0,0,0,6.020669937133789,8589934592,2147483648,5988089856,366018560
201,1772016544720,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,45,61.904762268066406,45,9.523809432983398,9.523809432983398,0,0,6.020669937133789,8589934592,2147483648,5982322688,366018560
202,1772016544922,3204,3204,3204,3204,3204,3204,3204,3204,35,35,31.57894515991211,31.81818199157715,5,5,4.761904716491699,5,6.020669937133789,8589934592,2147483648,5973016576,366018560
203,1772016545125,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,66.66667175292969,60.000003814697266,55,30.000001907348633,5,10,0,6.020669937133789,8589934592,2147483648,5958139904,366018560
204,1772016545329,3204,3204,3204,3204,3204,3204,3204,3204,94.73684692382813,85,90.47618865966797,84.21052551269531,5,4.761904716491699,4.761904716491699,5,6.968135356903076,8589934592,2147483648,5960417280,366018560
