Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771993713076,3204,3204,3204,3204,3204,3204,3204,3204,100,100,NaN,100,0,0,0,0,6.547454357147217,8589934592,2147483648,6432571392,678035456
204,1771993713077,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,NaN,0,0,0,NaN,6.547454357147217,8589934592,2147483648,6432571392,678035456
202,1771993713282,3204,3204,3204,3204,3204,3204,3204,3204,90.47618865966797,95,90.47618865966797,90.47618865966797,0,4.761904716491699,4.761904716491699,4.545454502105713,7.57253360748291,8589934592,2147483648,6432571392,678035456
204,1771993713485,3204,3204,3204,3204,3204,3204,3204,3204,94.73684692382813,85,95,95,14.285715103149414,10,9.523809432983398,9.523809432983398,7.57253360748291,8589934592,2147483648,6432571392,678035456
201,1771993713690,3204,3204,3204,3204,3204,3204,3204,3204,90.47618865966797,90.47618865966797,85.71428680419922,85.71428680419922,23.809524536132813,15.000000953674316,5,0,7.57253360748291,8589934592,2147483648,6408355840,678035456
202,1771993713894,3204,3204,3204,3204,3204,3204,3204,3204,76.19047546386719,75,65,78.94737243652344,20,19.047618865966797,10,10,7.57253360748291,8589934592,2147483648,6407307264,678035456
201,1771993714097,3204,3204,3204,3204,3204,3204,3204,3204,75,75,71.42857360839844,70,40,30.000001907348633,25,23.809524536132813,7.57253360748291,8589934592,2147483648,6432800768,678035456
199,1771993714299,3204,3204,3204,3204,3204,3204,3204,3204,94.73684692382813,90,94.73684692382813,90,15.000000953674316,25,0,0,6.888735771179199,8589934592,2147483648,6432800768,678035456
200,1771993714499,3204,3204,3204,3204,3204,3204,3204,3204,90.47618865966797,90,90,85.71428680419922,5.263157844543457,5,5,4.761904716491699,6.888735771179199,8589934592,2147483648,6432800768,678035456
204,1771993714700,3204,3204,3204,3204,3204,3204,3204,3204,90,90,90,95,15.000000953674316,15.000000953674316,4.761904716491699,0,6.888735771179199,8589934592,2147483648,6451986432,678035456
201,1771993714905,3204,3204,3204,3204,3204,3204,3204,3204,75,70,71.42857360839844,65,10,5,5,4.761904716491699,6.888735771179199,8589934592,2147483648,6465290240,678035456
199,1771993715107,3204,3204,3204,3204,3204,3204,3204,3204,65,70,57.894737243652344,70,14.285715103149414,10,5,5,6.888735771179199,8589934592,2147483648,6465404928,678035456
204,1771993715307,3204,3204,3204,3204,3204,3204,3204,3204,70,65,61.904762268066406,60.000003814697266,5,0,0,0,7.838078022003174,8589934592,2147483648,6460948480,678035456
201,1771993715512,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,61.904762268066406,70,55,9.523809432983398,13.636363983154297,9.523809432983398,4.761904716491699,7.838078022003174,8589934592,2147483648,6453592064,678035456
200,1771993715714,3204,3204,3204,3204,3204,3204,3204,3204,90,90,85,90,5.263157844543457,5,5,5,7.838078022003174,8589934592,2147483648,6460112896,678035456
204,1771993715915,3204,3204,3204,3204,3204,3204,3204,3204,94.73684692382813,95,90,90.47618865966797,15.000000953674316,5.263157844543457,0,5,7.838078022003174,8589934592,2147483648,6455672832,678035456
204,1771993716120,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,60.000003814697266,55,47.36842346191406,14.285715103149414,9.523809432983398,13.636363983154297,9.523809432983398,7.838078022003174,8589934592,2147483648,6450085888,678035456
200,1771993716326,3204,3204,3204,3204,3204,3204,3204,3204,85,85,90,85.71428680419922,25,9.523809432983398,5,0,7.660090446472168,8589934592,2147483648,6435815424,678035456
203,1771993716527,3204,3204,3204,3204,3204,3204,3204,3204,100,95.23809814453125,95,100,19.047618865966797,0,0,0,7.660090446472168,8589934592,2147483648,6441582592,678035456
199,1771993716732,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,95.23809814453125,95.23809814453125,95.23809814453125,5,13.636363983154297,5,5,7.660090446472168,8589934592,2147483648,6441779200,678035456
204,1771993716932,3204,3204,3204,3204,3204,3204,3204,3204,95,100,94.73684692382813,95,42.105262756347656,26.3157901763916,5,15.000000953674316,7.660090446472168,8589934592,2147483648,6428721152,678035456
201,1771993717137,3204,3204,3204,3204,3204,3204,3204,3204,100,95,95.23809814453125,100,4.761904716491699,25,5,0,7.660090446472168,8589934592,2147483648,6433652736,678035456
201,1771993717339,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,10,5,9.090909004211426,5,7.3794145584106445,8589934592,2147483648,6436569088,678035456
204,1771993717541,3204,3204,3204,3204,3204,3204,3204,3204,85.71428680419922,85.71428680419922,90,85,20,14.285715103149414,5.263157844543457,5,7.3794145584106445,8589934592,2147483648,6425313280,678035456
202,1771993717746,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,57.894737243652344,55,52.38095474243164,4.761904716491699,0,4.761904716491699,4.761904716491699,7.3794145584106445,8589934592,2147483648,6436454400,678035456
204,1771993717948,3204,3204,3204,3204,3204,3204,3204,3204,47.36842346191406,47.619049072265625,42.85714340209961,36.842105865478516,35,35,15.000000953674316,10,7.3794145584106445,8589934592,2147483648,6454427648,678035456
203,1771993718154,3204,3204,3204,3204,3204,3204,3204,3204,80.95238494873047,80.95238494873047,68.42105102539063,66.66667175292969,25,23.809524536132813,20,14.285715103149414,7.3794145584106445,8589934592,2147483648,6434177024,678035456
204,1771993718358,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,42.105262756347656,45.45454788208008,47.36842346191406,10,10,5,5,8.822847366333008,8589934592,2147483648,6447382528,678035456
200,1771993718563,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,9.523809432983398,4.761904716491699,9.090909004211426,0,8.822847366333008,8589934592,2147483648,6444449792,678035456
204,1771993718764,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,90.47618865966797,95,90.90909576416016,25,31.57894515991211,0,4.761904716491699,8.822847366333008,8589934592,2147483648,6452576256,678035456
201,1771993718969,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,100,100,100,15.000000953674316,9.523809432983398,9.523809432983398,0,8.822847366333008,8589934592,2147483648,6446268416,678035456
204,1771993719172,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,14.285715103149414,10,5.263157844543457,5,8.822847366333008,8589934592,2147483648,6456655872,678035456
201,1771993719376,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,26.3157901763916,14.285715103149414,0,4.761904716491699,8.681373596191406,8589934592,2147483648,6448185344,678035456
202,1771993719578,3204,3204,3204,3204,3204,3204,3204,3204,100,100,95.23809814453125,94.73684692382813,15.789472579956055,20,10,10,8.681373596191406,8589934592,2147483648,6442303488,678035456
200,1771993719782,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,31.81818199157715,15.000000953674316,0,0,8.681373596191406,8589934592,2147483648,6426492928,678035456
198,1771993719985,3204,3204,3204,3204,3204,3204,3204,3204,100,95.23809814453125,100,100,50,45,42.85714340209961,38.095237731933594,8.681373596191406,8589934592,2147483648,6411927552,678035456
202,1771993720184,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,60.000003814697266,60.000003814697266,50,26.3157901763916,8.681373596191406,8589934592,2147483648,6395854848,678035456
203,1771993720386,3204,3204,3204,3204,3204,3204,3204,3204,78.94737243652344,75,80.95238494873047,80.95238494873047,25,25,14.285715103149414,0,8.471429824829102,8589934592,2147483648,6408110080,678035456
202,1771993720590,3204,3204,3204,3204,3204,3204,3204,3204,90.47618865966797,90.47618865966797,90,95,10,5.263157844543457,0,4.761904716491699,8.471429824829102,8589934592,2147483648,6424412160,678035456
199,1771993720794,3204,3204,3204,3204,3204,3204,3204,3204,65,65,61.904762268066406,63.15789031982422,0,0,0,0,8.471429824829102,8589934592,2147483648,6415106048,678035456
204,1771993720993,3204,3204,3204,3204,3204,3204,3204,3204,80,80,73.68421173095703,76.19047546386719,20,15.000000953674316,10,9.523809432983398,8.471429824829102,8589934592,2147483648,6403948544,678035456
204,1771993721198,3204,3204,3204,3204,3204,3204,3204,3204,86.36363983154297,85,90,90,9.523809432983398,5,4.761904716491699,0,8.471429824829102,8589934592,2147483648,6414155776,678035456
